name,category,subcategory,price,discounted_price,status,product_type,stock_count,available_sizes,Brand,color,Origin,HS Code,Model,description,small_description,Tags,mfg,images
Cables & Wires - 10 sqmm 4C 750V PVC,Electrical,Cables & Wires,3000,2500,active,roll,100,"1,2,3,4,5",Legrand,,Japan,8544,LEG-423C,,"Legrand Japan 10 sqmm 4-core PVC cable. 750V rated, offering dependable performance and durability for complex electrical circuits.",Cables & Wires,,29.png
Cables & Wires - 35 sqmm 4C 750V LSZH,Electrical,Cables & Wires,3000,2500,active,pair,100,"1,2,3,4,5",Legrand,,Saudi Arabia,8544,LEG-420X,,"Legrand Saudi Arabia 35 sqmm 4-core LSZH cable. 750V rated, ensuring high-power delivery with advanced fire safety features.",Cables & Wires,,30.png
Cables & Wires - 2.5 sqmm 2C 1.1kV XLPE,Electrical,Cables & Wires,3000,2500,active,mtr,100,"1,2,3,4,5",Legrand,,UAE,8544,LEG-151B,,"Legrand UAE 2.5 sqmm 2-core XLPE cable. 1.1kV rated, built for high-voltage reliability and excellent resistance to thermal aging.",Cables & Wires,,31.png
Cables & Wires - 4 sqmm 3C 1.1kV LSZH,Electrical,Cables & Wires,3000,2500,active,mtr,100,"1,2,3,4,5",Legrand,,Japan,8544,LEG-424C,,"Legrand Japan 4 sqmm 3-core LSZH cable. 1.1kV rated, providing premium fire protection and high-voltage efficiency for infrastructure.",Cables & Wires,,32.png
Cables & Wires - 35 sqmm 1C 750V LSZH,Electrical,Cables & Wires,3000,2500,active,box,100,"1,2,3,4,5",Legrand,,Japan,8544,LEG-993X,,"Japanese-engineered Legrand 35 sqmm single-core LSZH cable. 750V rated, providing high-capacity power transmission with advanced fire safety for critical environments.",Cables & Wires,,33.png
Cables & Wires - 1.5 sqmm 4C 1.1kV PVC,Electrical,Cables & Wires,3000,2500,active,box,100,"1,2,3,4,5",Legrand,,Germany,8544,LEG-819X,,"Legrand Germany 1.5 sqmm 4-core PVC cable. 1.1kV rated, offering precision engineering for high-voltage control systems and lighting.",Cables & Wires,,34.png
Cables & Wires - 35 sqmm 2C 750V PVC,Electrical,Cables & Wires,3000,2500,active,roll,100,"1,2,3,4,5",Legrand,,Germany,8544,LEG-558C,,"Legrand Germany 35 sqmm 2-core PVC cable. 750V rated, designed for high-capacity electrical loads with durable insulation protection.",Cables & Wires,,35.png
Cables & Wires - 6 sqmm 1C 750V XLPE,Electrical,Cables & Wires,3000,2500,active,roll,100,"1,2,3,4,5",Legrand,,India,8544,LEG-207C,,"Legrand India 6 sqmm single-core XLPE cable. 750V rated, providing excellent moisture resistance and electrical efficiency for versatile use.",Cables & Wires,,36.png
Cables & Wires - 35 sqmm 3C 1.1kV PVC,Electrical,Cables & Wires,3000,2500,active,set,100,"1,2,3,4,5",Legrand,,UAE,8544,LEG-882A,,"Legrand UAE 35 sqmm 3-core PVC cable. 1.1kV rated, ideal for high-voltage power distribution in demanding commercial environments.",Cables & Wires,,37.png
Cables & Wires - 4 sqmm 3C 1.1kV LSZH,Electrical,Cables & Wires,3000,2500,active,set,100,"1,2,3,4,5",Legrand,,China,8544,LEG-701A,,"Legrand China 4 sqmm 3-core LSZH cable. 1.1kV rated, combining superior fire safety with high-voltage performance for modern buildings.",Cables & Wires,,38.png
Cables & Wires - 10 sqmm 2C 750V LSZH,Electrical,Cables & Wires,3000,2500,active,set,100,"1,2,3,4,5",Legrand,,China,8544,LEG-413A,,"Legrand China 10 sqmm 2-core LSZH cable. 750V rated, engineered for low-smoke safety and reliable power in restricted spaces.",Cables & Wires,,39.png
Cables & Wires - 1.5 sqmm 1C 750V XLPE,Electrical,Cables & Wires,3000,2500,active,pcs,100,"1,2,3,4,5",Riyadh Cables,,Japan,8544,RIY-358C,,"Riyadh Cables Japan 1.5 sqmm single-core XLPE. 750V rated, offering high-quality thermal insulation for compact and precise wiring.",Cables & Wires,,40.png
Cables & Wires - 6 sqmm 3C 1.1kV PVC,Electrical,Cables & Wires,3000,2500,active,box,100,"1,2,3,4,5",Riyadh Cables,,Saudi Arabia,8544,RIY-167X,,"Riyadh Cables Saudi Arabia 6 sqmm 3-core PVC. 1.1kV rated, providing robust and reliable power for high-voltage applications.",Cables & Wires,,41.png
Cables & Wires - 4 sqmm 4C 750V LSZH,Electrical,Cables & Wires,3000,2500,active,mtr,100,"1,2,3,4,5",Riyadh Cables,,India,8544,RIY-273A,,"Riyadh Cables India 4 sqmm 4-core LSZH. 750V rated, ensuring fire-safe, low-smoke electrical distribution for commercial and residential use.",Cables & Wires,,42.png
Cables & Wires - 35 sqmm 4C 750V PVC,Electrical,Cables & Wires,3000,2500,active,roll,100,"1,2,3,4,5",Riyadh Cables,,India,8544,RIY-749C,,"Riyadh Cables India 35 sqmm 4-core PVC. 750V rated, high-capacity cable designed for durable and efficient heavy-duty power supply.",Cables & Wires,,43.png
Cables & Wires - 10 sqmm 2C 750V LSZH,Electrical,Cables & Wires,3000,2500,active,roll,100,"1,2,3,4,5",Riyadh Cables,,UAE,8544,RIY-397A,,"Riyadh Cables UAE 10 sqmm 2-core LSZH. 750V rated, providing a safe, smoke-free solution for reliable medium-power electrical circuits.",Cables & Wires,,44.png
Cables & Wires - 2.5 sqmm 4C 750V XLPE,Electrical,Cables & Wires,3000,2500,active,roll,100,"1,2,3,4,5",Riyadh Cables,,Saudi Arabia,8544,RIY-352X,,"Riyadh Cables Saudi Arabia 2.5 sqmm 4-core XLPE cable. 750V rated, providing superior thermal resistance and durability for multi-circuit power.",Cables & Wires,,45.png
Cables & Wires - 35 sqmm 3C 1.1kV PVC,Electrical,Cables & Wires,3000,2500,active,mtr,100,"1,2,3,4,5",Riyadh Cables,,Saudi Arabia,8544,RIY-197A,,High-capacity 35 sqmm 3-core PVC cable from Riyadh Cables Saudi Arabia. 1.1kV rated for robust high-voltage industrial power distribution.,Cables & Wires,,46.png
Cables & Wires - 35 sqmm 1C 1.1kV XLPE,Electrical,Cables & Wires,3000,2500,active,mtr,100,"1,2,3,4,5",Riyadh Cables,,India,8544,RIY-160A,,"Riyadh Cables India 35 sqmm single-core XLPE cable. 1.1kV rated, offering excellent electrical properties and heat resistance for heavy loads.",Cables & Wires,,47.png
Cables & Wires - 10 sqmm 3C 1.1kV XLPE,Electrical,Cables & Wires,3000,2500,active,set,100,"1,2,3,4,5",Riyadh Cables,,India,8544,RIY-535B,,"Durable 10 sqmm 3-core XLPE cable by Riyadh Cables India. 1.1kV rated, designed for reliable performance in demanding electrical environments.",Cables & Wires,,48.png
Cables & Wires - 35 sqmm 2C 1.1kV XLPE,Electrical,Cables & Wires,3000,2500,active,box,100,"1,2,3,4,5",Saudi Cables,,Japan,8544,SAU-520B,,"Saudi Cables Japan 35 sqmm 2-core XLPE cable. 1.1kV rated, combining Japanese precision with high-thermal resistance for industrial applications.",Cables & Wires,,49.png
Cables & Wires - 35 sqmm 4C 1.1kV LSZH,Electrical,Cables & Wires,3000,2500,active,box,100,"1,2,3,4,5",Saudi Cables,,Germany,8544,SAU-125X,,"Premium Saudi Cables Germany 35 sqmm 4-core LSZH cable. 1.1kV rated, ensuring maximum fire safety and high-power capacity for infrastructure.",Cables & Wires,,50.png
Cables & Wires - 25 sqmm 3C 1.1kV LSZH,Electrical,Cables & Wires,3000,2500,active,set,100,"1,2,3,4,5",Saudi Cables,,India,8544,SAU-643A,,"Saudi Cables India 25 sqmm 3-core LSZH cable. 1.1kV rated, providing a safe, low-smoke solution for high-voltage power transmission.",Cables & Wires,,51.png
Cables & Wires - 1.5 sqmm 4C 1.1kV XLPE,Electrical,Cables & Wires,3000,2500,active,roll,100,"1,2,3,4,5",Saudi Cables,,China,8544,SAU-313A,,"Compact Saudi Cables China 1.5 sqmm 4-core XLPE cable. 1.1kV rated, offering enhanced insulation for specialized low-power control systems.",Cables & Wires,,52.png
Cables & Wires - 6 sqmm 3C 750V XLPE,Electrical,Cables & Wires,3000,2500,active,mtr,100,"1,2,3,4,5",Saudi Cables,,India,8544,SAU-498A,,"Saudi Cables India 6 sqmm 3-core XLPE cable. 750V rated, engineered for moisture resistance and stable power delivery in versatile installations.",Cables & Wires,,53.png
Cables & Wires - 2.5 sqmm 1C 1.1kV LSZH,Electrical,Cables & Wires,3000,2500,active,pcs,100,"1,2,3,4,5",Saudi Cables,,India,8544,SAU-958A,,"Saudi Cables India 2.5 sqmm single-core LSZH cable. 1.1kV rated, delivering high-voltage safety and low-smoke protection for critical wiring.",Cables & Wires,,54.png
Cables & Wires - 35 sqmm 1C 750V LSZH,Electrical,Cables & Wires,3000,2500,active,set,100,"1,2,3,4,5",Saudi Cables,,China,8544,SAU-289A,,"Saudi Cables China 35 sqmm single-core LSZH cable. 750V rated, designed for high-current capacity with essential fire safety compliance.",Cables & Wires,,55.png
Cables & Wires - 25 sqmm 2C 750V PVC,Electrical,Cables & Wires,3000,2500,active,roll,100,"1,2,3,4,5",Saudi Cables,,UAE,8544,SAU-636C,,"Saudi Cables UAE 25 sqmm 2-core PVC cable. 750V rated, providing a reliable and durable solution for standard power connectivity.",Cables & Wires,,56.png
Cables & Wires - 4 sqmm 1C 750V XLPE,Electrical,Cables & Wires,3000,2500,active,box,100,"1,2,3,4,5",Saudi Cables,,China,8544,SAU-194C,,"Saudi Cables China 4 sqmm single-core XLPE cable. 750V rated, offering superior insulation for efficient and heat-resistant electrical wiring.",Cables & Wires,,57.png
Cables & Wires - 4 sqmm 2C 750V XLPE,Electrical,Cables & Wires,3000,2500,active,pcs,100,"1,2,3,4,5",Saudi Cables,,UAE,8544,SAU-908A,,"Saudi Cables UAE 4 sqmm 2-core XLPE cable. 750V rated, balancing flexible installation with high-quality thermal and environmental resistance.",Cables & Wires,,58.png
Cables & Wires - 35 sqmm 2C 750V LSZH,Electrical,Cables & Wires,3000,2500,active,roll,100,"1,2,3,4,5",Saudi Cables,,Saudi Arabia,8544,SAU-808X,,"Saudi Cables Saudi Arabia 35 sqmm 2-core LSZH cable. 750V rated, ensuring safe, low-smoke power distribution for heavy-duty applications.",Cables & Wires,,59.png
Cables & Wires - 2.5 sqmm 1C 1.1kV PVC,Electrical,Cables & Wires,3000,2500,active,pair,100,"1,2,3,4,5",Saudi Cables,,Germany,8544,SAU-751C,,"Saudi Cables Germany 2.5 sqmm single-core PVC cable. 1.1kV rated, providing precision-engineered insulation for high-voltage control and wiring.",Cables & Wires,,60.png
Cables & Wires - 2.5 sqmm 3C 750V XLPE,Electrical,Cables & Wires,3000,2500,active,pair,100,"1,2,3,4,5",Saudi Cables,,UAE,8544,SAU-435C,,"Saudi Cables UAE 2.5 sqmm 3-core XLPE cable. 750V rated, ensuring high thermal stability and moisture resistance for power.",Cables & Wires,,61.png
Cables & Wires - 2.5 sqmm 4C 750V PVC,Electrical,Cables & Wires,3000,2500,active,set,100,"1,2,3,4,5",Saudi Cables,,India,8544,SAU-451C,,"Saudi Cables India 2.5 sqmm 4-core PVC cable. 750V rated, offering reliable multi-circuit power distribution for general-purpose electrical tasks.",Cables & Wires,,62.png
Cables & Wires - 10 sqmm 3C 750V PVC,Electrical,Cables & Wires,3000,2500,active,box,100,"1,2,3,4,5",Saudi Cables,,Japan,8544,SAU-808X,,"Saudi Cables Japan 10 sqmm 3-core PVC cable. 750V rated, built for durable and efficient medium-capacity electrical connectivity.",Cables & Wires,,63.png
Cables & Wires - 25 sqmm 1C 1.1kV LSZH,Electrical,Cables & Wires,3000,2500,active,set,100,"1,2,3,4,5",Saudi Cables,,Germany,8544,SAU-307A,,"Saudi Cables Germany 25 sqmm single-core LSZH cable. 1.1kV rated, delivering high-voltage capacity and essential fire safety for infrastructure.",Cables & Wires,,64.png
Cables & Wires - 16 sqmm 2C 1.1kV XLPE,Electrical,Cables & Wires,3000,2500,active,pcs,100,"1,2,3,4,5",Schneider Electric,,UAE,8544,SCH-714B,,"Schneider Electric UAE 16 sqmm 2-core XLPE cable. 1.1kV rated, providing enhanced heat resistance for demanding industrial power loads.",Cables & Wires,,65.png
Cables & Wires - 35 sqmm 3C 750V LSZH,Electrical,Cables & Wires,3000,2500,active,mtr,100,"1,2,3,4,5",Schneider Electric,,Japan,8544,SCH-192C,,"Schneider Electric Japan 35 sqmm 3-core LSZH cable. 750V rated, high-capacity power distribution featuring advanced low-smoke, fire-safe technology.",Cables & Wires,,66.png
Cables & Wires - 6 sqmm 2C 1.1kV PVC,Electrical,Cables & Wires,3000,2500,active,set,100,"1,2,3,4,5",Schneider Electric,,UAE,8544,SCH-429C,,"Schneider Electric UAE 6 sqmm 2-core PVC cable. 1.1kV rated, engineered for robust performance in high-voltage general electrical applications.",Cables & Wires,,67.png
Cables & Wires - 2.5 sqmm 3C 750V LSZH,Electrical,Cables & Wires,3000,2500,active,mtr,100,"1,2,3,4,5",Schneider Electric,,UAE,8544,SCH-201X,,"Schneider Electric UAE 2.5 sqmm 3-core LSZH cable. 750V rated, providing a safe, smoke-free solution for residential and commercial.",Cables & Wires,,68.png
Cables & Wires - 6 sqmm 2C 1.1kV PVC,Electrical,Cables & Wires,3000,2500,active,roll,100,"1,2,3,4,5",Schneider Electric,,China,8544,SCH-829C,,"Schneider Electric China 6 sqmm 2-core PVC cable. 1.1kV rated, durable insulation designed for reliable high-voltage power transmission.",Cables & Wires,,69.png
Cables & Wires - 6 sqmm 4C 750V PVC,Electrical,Cables & Wires,3000,2500,active,mtr,100,"1,2,3,4,5",Schneider Electric,,UAE,8544,SCH-184B,,"Schneider Electric UAE 6 sqmm 4-core PVC cable. 750V rated, ideal for multi-circuit power distribution in standard building installations.",Cables & Wires,,70.png
Cables & Wires - 16 sqmm 2C 1.1kV XLPE,Electrical,Cables & Wires,3000,2500,active,kg,100,"1,2,3,4,5",Schneider Electric,,China,8544,SCH-333B,,"Schneider Electric China 16 sqmm 2-core XLPE cable. 1.1kV rated, offering superior electrical stability and high thermal load capacity.",Cables & Wires,,71.png
Cables & Wires - 16 sqmm 3C 750V PVC,Electrical,Cables & Wires,3000,2500,active,box,100,"1,2,3,4,5",Schneider Electric,,Japan,8544,SCH-104B,,"Schneider Electric Japan 16 sqmm 3-core PVC cable. 750V rated, providing dependable performance for medium-load industrial and commercial circuits.",Cables & Wires,,72.png
Cables & Wires - 35 sqmm 2C 1.1kV LSZH,Electrical,Cables & Wires,3000,2500,active,box,100,"1,2,3,4,5",Schneider Electric,,India,8544,SCH-725A,,"Schneider Electric India 35 sqmm 2-core LSZH cable. 1.1kV rated, high-power capability combined with maximum fire safety for buildings.",Cables & Wires,,73.png
Cables & Wires - 10 sqmm 1C 1.1kV PVC,Electrical,Cables & Wires,3000,2500,active,pair,100,"1,2,3,4,5",Schneider Electric,,China,8544,SCH-607X,,"Schneider Electric China 10 sqmm single-core PVC cable. 1.1kV rated, precision-manufactured for high-voltage power and general grounding tasks.",Cables & Wires,,74.png
Cables & Wires - 4 sqmm 1C 750V LSZH,Electrical,Cables & Wires,3000,2500,active,pcs,100,"1,2,3,4,5",Schneider Electric,,India,8544,SCH-534A,,"Schneider Electric India 4 sqmm single-core LSZH cable. 750V rated, providing reliable electrical performance with essential halogen-free fire protection.",Cables & Wires,,75.png
Cables & Wires - 2.5 sqmm 4C 1.1kV PVC,Electrical,Cables & Wires,3000,2500,active,box,100,"1,2,3,4,5",Siemens,,Japan,8544,SIE-817X,,"Siemens Japan 2.5 sqmm 4-core PVC cable. 1.1kV rated, featuring precision Japanese engineering for safe, high-voltage multi-circuit wiring.",Cables & Wires,,76.png
Cables & Wires - 25 sqmm 3C 750V PVC,Electrical,Cables & Wires,3000,2500,active,roll,100,"1,2,3,4,5",Siemens,,Saudi Arabia,8544,SIE-127A,,"Siemens Saudi Arabia 25 sqmm 3-core PVC cable. 750V rated, a robust solution for high-capacity power distribution in commercial.",Cables & Wires,,77.png
Cables & Wires - 2.5 sqmm 3C 750V XLPE,Electrical,Cables & Wires,3000,2500,active,mtr,100,"1,2,3,4,5",Siemens,,Japan,8544,SIE-125C,,"Siemens Japan 2.5 sqmm 3-core XLPE cable. 750V rated, providing advanced thermal resistance and durable performance for various environments.",Cables & Wires,,78.png
Cables & Wires - 16 sqmm 2C 1.1kV XLPE,Electrical,Cables & Wires,3000,2500,active,roll,100,"1,2,3,4,5",Siemens,,Germany,8544,SIE-245B,,"Siemens Germany 16 sqmm 2-core XLPE cable. 1.1kV rated, German-engineered for high-voltage reliability and superior environmental stress resistance.",Cables & Wires,,79.png
Cables & Wires - 25 sqmm 3C 750V LSZH,Electrical,Cables & Wires,3000,2500,active,kg,100,"1,2,3,4,5",Siemens,,UAE,8544,SIE-654B,,"Siemens UAE 25 sqmm 3-core LSZH cable. 750V rated, high-power distribution ensuring low-smoke emission for enhanced public safety.",Cables & Wires,,80.png
Cables & Wires - 25 sqmm 1C 1.1kV LSZH,Electrical,Cables & Wires,3000,2500,active,kg,100,"1,2,3,4,5",Siemens,,India,8544,SIE-290X,,"Siemens India 25 sqmm single-core LSZH cable. 1.1kV rated, offering safe high-voltage transmission with specialized zero-halogen safety insulation.",Cables & Wires,,81.png
Cables & Wires - 4 sqmm 1C 750V PVC,Electrical,Cables & Wires,3000,2500,active,pair,100,"1,2,3,4,5",Siemens,,Germany,8544,SIE-431B,,"Siemens Germany 4 sqmm single-core PVC cable. 750V rated, reliable and durable electrical wiring for standard commercial applications.",Cables & Wires,,82.png
Cables & Wires - 10 sqmm 4C 1.1kV LSZH,Electrical,Cables & Wires,3000,2500,active,set,100,"1,2,3,4,5",Siemens,,Germany,8544,SIE-917B,,"Siemens Germany 10 sqmm 4-core LSZH cable. 1.1kV rated, providing high-voltage efficiency and critical fire safety for infrastructure projects.",Cables & Wires,,83.png
Cables & Wires - 6 sqmm 3C 750V PVC,Electrical,Cables & Wires,3000,2500,active,roll,100,"1,2,3,4,5",Siemens,,Saudi Arabia,8544,SIE-352B,,"Siemens Saudi Arabia 6 sqmm 3-core PVC cable. 750V rated, designed for dependable power distribution in standard electrical installations.",Cables & Wires,,84.png
Cables & Wires - 1.5 sqmm 2C 1.1kV PVC,Electrical,Cables & Wires,3000,2500,active,pair,100,"1,2,3,4,5",Siemens,,China,8544,SIE-394X,,"Siemens China 1.5 sqmm 2-core PVC cable. 1.1kV rated, providing reliable high-voltage connectivity for lighting and small power.",Cables & Wires,,85.png
Cables & Wires - 1.5 sqmm 1C 1.1kV XLPE,Electrical,Cables & Wires,3000,2500,active,mtr,100,"1,2,3,4,5",Siemens,,India,8544,SIE-587C,,"Siemens India 1.5 sqmm single-core XLPE cable. 1.1kV rated, offering superior heat resistance for compact high-voltage control wiring.",Cables & Wires,,86.png
Cables & Wires - 6 sqmm 3C 750V PVC,Electrical,Cables & Wires,3000,2500,active,box,100,"1,2,3,4,5",Siemens,,Germany,8544,SIE-544C,,"Siemens Germany 6 sqmm 3-core PVC cable. 750V rated, precision German manufacturing for efficient power in commercial settings.",Cables & Wires,,87.png
